build,param,operation,avg_power_mW,time_us,energy_uJ
ref,128s,keygen,2479.7,15.1237,37.5022
ref,128s,sign,2479.7,5405500.0000,13404018.3500
ref,128s,verify,2479.7,5376540.0000,13332206.2380
ref,128f,keygen,2545.1,15.1007,38.4328
ref,128f,sign,2545.1,744388.0000,1894541.8988
ref,128f,verify,2545.1,733965.0000,1868014.3215
ref,192s,keygen,2578.3,30.4020,78.3855
ref,192s,sign,2578.3,19619200.0000,50584183.3600
ref,192s,verify,2578.3,19454700.0000,50160053.0100
ref,192f,keygen,2791.8,30.6392,85.5385
ref,192f,sign,2791.8,2511280.0000,7010991.5040
ref,192f,verify,2791.8,2455890.0000,6856353.7020
ref,256s,keygen,2709.9,36.4850,98.8707
ref,256s,sign,2709.9,43353700.0000,117484191.6300
ref,256s,verify,2709.9,43597600.0000,118145136.2400
ref,256f,keygen,2637.9,38.2766,100.9698
ref,256f,sign,2637.9,5098510.0000,13449359.5290
ref,256f,verify,2637.9,5038020.0000,13289792.9580
ref,em_128s,keygen,2551.5,15.4884,39.5187
ref,em_128s,sign,2551.5,4107060.0000,10479163.5900
ref,em_128s,verify,2551.5,4092970.0000,10443212.9550
ref,em_128f,keygen,2612.1,15.0404,39.2870
ref,em_128f,sign,2612.1,566732.0000,1480360.6572
ref,em_128f,verify,2612.1,561406.0000,1466448.6126
ref,em_192s,keygen,2905.4,26.1517,75.9811
ref,em_192s,sign,2905.4,17545900.0000,50977857.8600
ref,em_192s,verify,2905.4,17613200.0000,51173391.2800
ref,em_192f,keygen,2497.3,25.6724,64.1117
ref,em_192f,sign,2497.3,1832870.0000,4577226.2510
ref,em_192f,verify,2497.3,1805810.0000,4509649.3130
ref,em_256s,keygen,2825.0,40.8558,115.4176
ref,em_256s,sign,2825.0,36765800.0000,103863385.0000
ref,em_256s,verify,2825.0,36843000.0000,104081475.0000
ref,em_256f,keygen,2984.7,42.9600,128.2227
ref,em_256f,sign,2984.7,4448140.0000,13276363.4580
ref,em_256f,verify,2984.7,4262060.0000,12720970.4820
opt-ref,128s,keygen,3467.4,0.8535,2.9594
opt-ref,128s,sign,3467.4,43245.7000,149950.1402
opt-ref,128s,verify,3467.4,38236.8000,132582.2803
opt-ref,128f,keygen,3246.4,0.7703,2.5007
opt-ref,128f,sign,3246.4,15886.3000,51573.2843
opt-ref,128f,verify,3246.4,12262.4000,39808.6554
opt-ref,192s,keygen,4188.3,0.7542,3.1588
opt-ref,192s,sign,4188.3,122890.0000,514700.1870
opt-ref,192s,verify,4188.3,99131.4000,415192.0426
opt-ref,192f,keygen,3312.7,0.7398,2.4507
opt-ref,192f,sign,3312.7,50004.2000,165648.9133
opt-ref,192f,verify,3312.7,36422.0000,120655.1594
opt-ref,256s,keygen,4214.8,0.8187,3.4507
opt-ref,256s,sign,4214.8,183627.0000,773951.0796
opt-ref,256s,verify,4214.8,166744.0000,702792.6112
opt-ref,256f,keygen,3680.3,0.7779,2.8629
opt-ref,256f,sign,3680.3,69999.4000,257618.7918
opt-ref,256f,verify,3680.3,53017.5000,195120.3053
opt-ref,em_128s,keygen,3404.3,0.7472,2.5437
opt-ref,em_128s,sign,3404.3,31758.4000,108115.1211
opt-ref,em_128s,verify,3404.3,27399.0000,93274.4157
opt-ref,em_128f,keygen,3595.1,0.7289,2.6205
opt-ref,em_128f,sign,3595.1,13359.4000,48028.3789
opt-ref,em_128f,verify,3595.1,9842.9400,35386.3536
opt-ref,em_192s,keygen,3651.6,25.8140,94.2624
opt-ref,em_192s,sign,3651.6,81749.6000,298516.8394
opt-ref,em_192s,verify,3651.6,71349.4000,260539.4690
opt-ref,em_192f,keygen,3873.0,28.3934,109.9676
