param,build,operation,mean_us,stddev_us,ci_low_us,ci_high_us
128s,neon_owf,keygen,0.631436,0.0437692,0.624087,0.641636
128s,neon_owf,sign,5465480.0,94252.1,5449160.0,5486680.0
128s,neon_owf,verify,5425110.0,88551.7,5410860.0,5447110.0
128f,neon_owf,keygen,0.618845,0.0431378,0.61173,0.6290359999999999
128f,neon_owf,sign,750667.0,20417.899999999998,748072.0,757872.0
128f,neon_owf,verify,738782.0,15526.9,736557.0,743296.0
192s,neon_owf,keygen,0.652635,0.031363,0.646736,0.659038
192s,neon_owf,sign,19697300.0,264838.0,19653200.0,19759100.0
192s,neon_owf,verify,19454600.0,158619.0,19433600.0,19507700.0
192f,neon_owf,keygen,0.661516,0.0735783,0.650098,0.68045
192f,neon_owf,sign,2467270.0,3470.38,2466710.0,2468120.0
192f,neon_owf,verify,2434940.0,2480.18,2434570.0,2435620.0
256s,neon_owf,keygen,0.70033,0.0920026,0.6850890000000001,0.721981
256s,neon_owf,sign,43089200.0,28764.8,43084900.0,43096900.0
256s,neon_owf,verify,43044900.0,92413.70000000001,43032700.0,43076000.0
256f,neon_owf,keygen,0.682885,0.050612000000000004,0.674883,0.69587
256f,neon_owf,sign,5071870.0,2987.87,5071370.0,5072570.0
256f,neon_owf,verify,5021090.0,19506.699999999997,5018840.0,5029520.0
em_128s,neon_owf,keygen,0.607599,0.023509899999999997,0.603048,0.6122989999999999
em_128s,neon_owf,sign,4082470.0,6998.08,4081410.0,4084329.9999999995
em_128s,neon_owf,verify,4071970.0000000005,4080.7700000000004,4071320.0,4072980.0000000005
em_128f,neon_owf,keygen,0.6171660000000001,0.0280467,0.611848,0.622848
em_128f,neon_owf,sign,565391.0,1517.0600000000002,565171.0,565818.0
em_128f,neon_owf,verify,555987.0,1052.74,555867.0,556429.0
em_192s,neon_owf,keygen,25.2713,2.07564,24.9333,25.7692
em_192s,neon_owf,sign,17321000.0,120932.0,17308500.0,17370900.0
em_192s,neon_owf,verify,17287700.0,21413.3,17285100.0,17296000.0
em_192f,neon_owf,keygen,24.5503,0.400061,24.5036,24.7186
em_192f,neon_owf,sign,1828980.0,1897.44,1828680.0,1829460.0
em_192f,neon_owf,verify,1804060.0,3464.18,1803630.0,1805380.0
em_256s,neon_owf,keygen,41.0059,2.48898,40.6443,41.7146
em_256s,neon_owf,sign,36296100.0,126767.0,36282100.0,36357300.0
em_256s,neon_owf,verify,36237400.0,25029.800000000003,36234400.0,36247500.0
em_256f,neon_owf,keygen,42.1512,3.22751,41.5787,42.8549
em_256f,neon_owf,sign,4276470.0,3128.4,4275960.0,4277230.0
em_256f,neon_owf,verify,4236730.0,86384.0,4224970.0,4268950.0
