param,build,operation,mean_us,stddev_us,ci_low_us,ci_high_us
128s,ref,keygen,61.207,23.031,58.839,72.763
128s,opt-ref,keygen,3.888,0.21000000000000002,3.861,3.964
128s,neon,keygen,2.745,0.060000000000000005,2.735,2.761
128s,neon-pthread,keygen,2.755,0.13999999999999999,2.738,2.804
128f,ref,keygen,58.91,0.7,58.801,59.09
128f,opt-ref,keygen,3.9,0.23,3.871,3.979
128f,neon,keygen,2.761,0.060000000000000005,2.751,2.776
128f,neon-pthread,keygen,2.735,0.05,2.726,2.745
192s,ref,keygen,122.259,2.29,121.966,123.063
192s,opt-ref,keygen,4.807,0.15,4.785,4.846
192s,neon,keygen,3.241,0.06999999999999999,3.228,3.256
192s,neon-pthread,keygen,3.239,0.06999999999999999,3.225,3.255
192f,ref,keygen,122.071,1.246,121.865,122.369
192f,opt-ref,keygen,4.801,0.3,4.764,4.911
192f,neon,keygen,3.236,0.06999999999999999,3.223,3.251
192f,neon-pthread,keygen,3.241,0.06999999999999999,3.228,3.254
256s,ref,keygen,146.504,1.325,146.289,146.824
256s,opt-ref,keygen,5.174,0.27,5.14,5.272
256s,neon,keygen,3.815,0.09000000000000001,3.799,3.833
256s,neon-pthread,keygen,3.844,0.08,3.828,3.861
256f,ref,keygen,146.585,1.496,146.349,146.964
256f,opt-ref,keygen,5.086,0.51,5.021,5.272
256f,neon,keygen,3.817,0.11,3.796,3.84
256f,neon-pthread,keygen,3.85,0.1,3.83,3.87
em_128s,ref,keygen,58.944,0.64,58.842,59.104
em_128s,opt-ref,keygen,3.936,0.09000000000000001,3.921,3.959
em_128s,neon,keygen,2.744,0.060000000000000005,2.734,2.756
em_128s,neon-pthread,keygen,2.743,0.060000000000000005,2.732,2.758
em_128f,ref,keygen,58.919,0.7200000000000001,58.806,59.103
em_128f,opt-ref,keygen,4.007,0.1,3.989,4.031
em_128f,neon,keygen,2.757,0.060000000000000005,2.747,2.769
em_128f,neon-pthread,keygen,2.773,0.060000000000000005,2.762,2.787
em_192s,ref,keygen,99.176,1.16,98.989,99.458
em_192s,opt-ref,keygen,99.244,1.34,99.032,99.586
em_192s,neon,keygen,99.346,1.313,99.129,99.66
em_192s,neon-pthread,keygen,99.465,2.276,99.128,100.083
em_192f,ref,keygen,99.161,1.109,98.982,99.433
em_192f,opt-ref,keygen,99.173,1.04,98.994,99.41
em_192f,neon,keygen,99.216,1.318,99.011,99.556
em_192f,neon-pthread,keygen,99.273,1.164,99.086,99.56
em_256s,ref,keygen,165.14,1.284,164.928,165.447
em_256s,opt-ref,keygen,165.178,1.523,164.933,165.55
em_256s,neon,keygen,165.071,1.485,164.827,165.43
em_256s,neon-pthread,keygen,165.05,1.328,164.833,165.369
em_256f,ref,keygen,165.196,1.669,164.924,165.601
em_256f,opt-ref,keygen,165.074,1.393,164.855,165.429
em_256f,neon,keygen,165.097,1.335,164.879,165.419
em_256f,neon-pthread,keygen,165.144,1.568,164.906,165.561
128s,ref,sign,21787000.0,10027.0,21785000.0,21790000.0
128s,opt-ref,sign,489208.0,8090.999999999999,487795.0,491012.0
128s,neon,sign,400046.0,8182.0,398601.0,401835.0
128s,neon-pthread,sign,258721.99999999997,10547.0,257023.00000000003,261298.99999999997
128f,ref,sign,3001000.0,623.117,3001000.0,3001000.0
128f,opt-ref,sign,96342.0,629.128,96232.0,96482.0
128f,neon,sign,84664.0,608.554,84558.0,84799.0
128f,neon-pthread,sign,65036.0,843.731,64888.99999999999,65224.99999999999
192s,ref,sign,79388000.0,38395.0,79381000.0,79396000.0
192s,opt-ref,sign,1778000.0,58459.0,1769000.0,1792000.0
192s,neon,sign,1567000.0,43628.0,1559000.0,1576000.0
192s,neon-pthread,sign,1111000.0,43998.0,1104000.0,1122000.0
192f,ref,sign,10091000.0,1366.0,10091000.0,10091000.0
192f,opt-ref,sign,391239.0,1367.0,391007.0,391553.0
192f,neon,sign,361374.0,857.271,361217.0,361556.0
192f,neon-pthread,sign,306340.0,1615.0,306032.0,306667.0
256s,ref,sign,175694000.0,5097.0,175693000.0,175696000.0
256s,opt-ref,sign,3268000.0,1048.0,3268000.0,3268000.0
256s,neon,sign,3005000.0,588.524,3004000.0,3005000.0
256s,neon-pthread,sign,2048000.0,3241.0,2047000.0000000002,2049000.0
256f,ref,sign,20776000.0,1022.0,20776000.0,20776000.0
256f,opt-ref,sign,657179.0,550.945,657082.0,657300.0
256f,neon,sign,633489.0,510.765,633403.0,633609.0
256f,neon-pthread,sign,512812.0,7166.0,511745.0,514780.99999999994
em_128s,ref,sign,16507000.000000002,5415.0,16506000.0,16509000.0
em_128s,opt-ref,sign,380525.0,6585.0,379475.0,382185.0
em_128s,neon,sign,304415.0,5281.0,303480.0,305568.0
em_128s,neon-pthread,sign,189556.0,7877.0,188261.0,191415.0
em_128f,ref,sign,2278000.0,823.128,2278000.0,2278000.0
em_128f,opt-ref,sign,78871.0,496.851,78783.0,78980.0
em_128f,neon,sign,68496.0,436.588,68422.0,68596.0
em_128f,neon-pthread,sign,53141.0,1911.0,52917.0,53929.0
em_192s,ref,sign,70067000.0,7798.0,70066000.0,70069000.0
em_192s,opt-ref,sign,1251000.0,8390.0,1249000.0,1253000.0
em_192s,neon,sign,1064000.0,7699.0,1062000.0,1065000.0
em_192s,neon-pthread,sign,598715.0,8348.0,597214.0,600517.0
em_192f,ref,sign,7429000.0,915.626,7428000.0,7429000.0
em_192f,opt-ref,sign,259341.0,524.288,259244.00000000003,259451.00000000003
em_192f,neon,sign,238068.0,429.614,237991.0,238160.0
em_192f,neon-pthread,sign,191073.0,837.048,190934.0,191271.0
em_256s,ref,sign,146980000.0,7485.0,146978000.0,146981000.0
em_256s,opt-ref,sign,2228000.0,6087.0,2227000.0,2230000.0
em_256s,neon,sign,1959000.0,4976.0,1958000.0,1960000.0
em_256s,neon-pthread,sign,1074000.0,6344.0,1073000.0,1075000.0
em_256f,ref,sign,17411000.0,992.735,17411000.0,17412000.0
em_256f,opt-ref,sign,523241.0,439.005,523166.00000000006,523341.0
em_256f,neon,sign,496755.0,454.408,496673.0,496852.0
em_256f,neon-pthread,sign,393795.0,5836.0,392982.0,395552.0
128s,ref,verify,21746000.0,915.521,21746000.0,21746000.0
128s,opt-ref,verify,470806.0,357.732,470747.0,470892.0
128s,neon,verify,381272.0,163.861,381240.0,381304.0
128s,neon-pthread,verify,239239.0,1545.0,239026.0,239709.0
128f,ref,verify,2963000.0,424.481,2963000.0,2963000.0
128f,opt-ref,verify,84852.0,206.763,84828.0,84939.0
128f,neon,verify,73050.0,196.446,73028.0,73135.0
128f,neon-pthread,verify,53707.0,316.35,53663.0,53803.0
192s,ref,verify,79227000.0,3647.0,79226000.0,79228000.0
192s,opt-ref,verify,1662000.0,3378.0,1662000.0,1663000.0
192s,neon,verify,1455000.0,1836.0,1454000.0,1455000.0
192s,neon-pthread,verify,1008999.9999999999,4860.0,1008000.0,1010000.0
192f,ref,verify,9952000.0,773.111,9952000.0,9952000.0
192f,opt-ref,verify,323564.0,1130.0,323368.0,323814.0
192f,neon,verify,295485.0,256.076,295437.0,295538.0
192f,neon-pthread,verify,242990.0,1304.0,242747.0,243260.0
256s,ref,verify,175427000.0,28000.0,175424000.0,175441000.0
256s,opt-ref,verify,3167000.0,944.374,3167000.0,3167000.0
256s,neon,verify,2910000.0,589.09,2910000.0,2911000.0
256s,neon-pthread,verify,1911000.0,3558.0,1911000.0,1913000.0
256f,ref,verify,20523000.0,1810.0,20522000.0,20523000.0
